"Device","Standard Name","Display Name","Units","Timestamp","Timezone","Value"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 02:30","undefined","35.09"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 02:45","undefined","34.16"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 03:00","undefined","34.75"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 03:15","undefined","34.96"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 03:30","undefined","33.97"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 03:45","undefined","33.36"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 04:00","undefined","34.46"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 04:15","undefined","33.73"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 04:30","undefined","35.01"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 04:45","undefined","34.75"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 05:00","undefined","34.31"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 05:15","undefined","33.78"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 05:30","undefined","33.68"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 05:45","undefined","32.55"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 06:00","undefined","33.64"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 06:15","undefined","35.69"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 06:30","undefined","38.37"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 06:45","undefined","38.01"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 07:00","undefined","37.94"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 07:15","undefined","38.46"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 07:30","undefined","39.27"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 07:45","undefined","39.27"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 08:00","undefined","38.91"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 08:15","undefined","38.18"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 08:30","undefined","38"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 08:45","undefined","38.38"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 09:00","undefined","37.91"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 09:15","undefined","38.27"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 09:30","undefined","37.28"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 09:45","undefined","37.73"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 10:00","undefined","38.02"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 10:15","undefined","37.58"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 10:30","undefined","38.05"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 10:45","undefined","37.89"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 11:00","undefined","37.78"
